rank	word	frequency
1	de	7.81
2	la	7.56
3	que	7.52
4	el	7.45
5	en	7.45
6	los	7.18
7	no	7.16
8	un	7.07
9	se	7.06
10	por	7.04
11	es	7.02
12	del	7.01
13	las	6.99
14	con	6.97
15	una	6.95
16	para	6.92
17	lo	6.89
18	su	6.78
19	al	6.74
20	como	6.73
21	me	6.70
22	más	6.63
23	si	6.59
24	pero	6.57
25	te	6.52
26	mi	6.43
27	le	6.40
28	este	6.37
29	sus	6.37
30	esta	6.36
31	todo	6.35
32	ya	6.33
33	ha	6.30
34	cuando	6.29
35	yo	6.29
36	ser	6.27
37	son	6.26
38	sin	6.24
39	hay	6.23
40	está	6.22
41	fue	6.22
42	tu	6.22
43	muy	6.21
44	sobre	6.19
45	también	6.19
46	todos	6.19
47	eso	6.15
48	tiene	6.15
49	nos	6.14
50	porque	6.14
51	qué	6.13
52	así	6.12
53	años	6.12
54	dos	6.12
55	bien	6.11
56	entre	6.11
57	puede	6.11
58	desde	6.10
59	hasta	6.09
60	hacer	6.07
61	ahora	6.05
62	era	6.05
63	esto	6.05
64	vez	6.04
65	hace	6.03
66	nada	6.02
67	ni	6.02
68	donde	6.01
69	parte	6.00
70	solo	6.00
71	algo	5.99
72	tiempo	5.97
73	día	5.96
74	uno	5.96
75	mejor	5.95
76	mucho	5.95
77	tan	5.95
78	ver	5.95
79	vida	5.95
80	ese	5.93
81	han	5.93
82	mismo	5.93
83	siempre	5.93
84	tengo	5.91
85	cada	5.90
86	después	5.90
87	están	5.90
88	gente	5.90
89	esa	5.89
90	estado	5.89
91	estoy	5.89
92	mundo	5.89
93	va	5.89
94	año	5.88
95	les	5.88
96	mas	5.87
97	otro	5.87
98	otros	5.87
99	gracias	5.86
100	otra	5.86
101	cosas	5.85
102	gran	5.84
103	menos	5.84
104	nunca	5.84
105	personas	5.84
106	tanto	5.84
107	antes	5.82
108	poco	5.82
109	sea	5.82
110	había	5.81
111	tener	5.81
112	trabajo	5.81
113	durante	5.80
114	ellos	5.80
115	lugar	5.80
116	creo	5.79
117	cómo	5.79
118	hecho	5.79
119	quiero	5.79
120	sólo	5.79
121	aunque	5.78
122	contra	5.78
123	cuenta	5.78
124	decir	5.78
125	gobierno	5.78
126	país	5.78
127	soy	5.78
128	todas	5.78
129	casa	5.77
130	estos	5.77
131	forma	5.77
132	he	5.77
133	nuevo	5.77
134	sido	5.77
135	él	5.76
136	aquí	5.75
137	ella	5.75
138	estas	5.75
139	sí	5.75
140	estaba	5.74
141	estar	5.74
142	hoy	5.74
143	tienen	5.74
144	alguien	5.73
145	dice	5.73
146	quien	5.72
147	toda	5.72
148	tres	5.72
149	voy	5.72
150	caso	5.71
151	días	5.71
152	momento	5.71
153	bueno	5.70
154	ciudad	5.70
155	mis	5.70
156	nuestro	5.70
157	luego	5.69
158	nacional	5.69
159	parece	5.69
160	nuestra	5.68
161	poder	5.68
162	pueden	5.68
163	pues	5.68
164	verdad	5.68
165	historia	5.67
166	mientras	5.67
167	nadie	5.67
168	nueva	5.67
169	otras	5.67
170	primera	5.67
171	veces	5.67
172	muchos	5.66
173	cual	5.65
174	debe	5.65
175	dijo	5.65
176	entonces	5.65
177	ir	5.65
178	tipo	5.65
179	algunos	5.64
180	general	5.64
181	mayor	5.64
182	tal	5.64
183	además	5.63
184	mal	5.62
185	muchas	5.62
186	primer	5.62
187	según	5.62
188	acuerdo	5.61
189	cualquier	5.61
190	dios	5.61
191	fueron	5.61
192	manera	5.61
193	nombre	5.61
194	unos	5.61
195	ley	5.60
196	medio	5.60
197	partido	5.60
198	bajo	5.59
199	fuera	5.59
200	hacia	5.59
201	sino	5.59
202	da	5.58
203	grupo	5.58
204	haber	5.58
205	hombre	5.58
206	puedo	5.58
207	buena	5.57
208	mujer	5.57
209	persona	5.56
210	será	5.56
211	sistema	5.56
212	casi	5.55
213	fin	5.55
214	hizo	5.55
215	noche	5.55
216	nosotros	5.55
217	pasado	5.55
218	presidente	5.55
219	quiere	5.55
220	tenemos	5.55
221	tus	5.55
222	eres	5.54
223	méxico	5.54
224	ahí	5.53
225	cosa	5.53
226	dentro	5.53
227	españa	5.53
228	estamos	5.53
229	familia	5.53
230	lado	5.53
231	aún	5.52
232	buen	5.52
233	podemos	5.52
234	misma	5.51
235	pueblo	5.51
236	tenía	5.51
237	esos	5.50
238	final	5.50
239	mujeres	5.50
240	política	5.50
241	problema	5.50
242	punto	5.50
243	agua	5.49
244	alguna	5.49
245	equipo	5.49
246	guerra	5.49
247	saber	5.49
248	sé	5.49
249	vamos	5.49
250	van	5.49
251	ante	5.48
252	dar	5.48
253	embargo	5.48
254	favor	5.48
255	gusta	5.48
256	importante	5.48
257	información	5.48
258	mañana	5.48
259	pasa	5.48
260	semana	5.48
261	tienes	5.48
262	claro	5.47
263	dinero	5.47
264	san	5.47
265	social	5.47
266	ejemplo	5.46
267	estados	5.46
268	horas	5.46
269	igual	5.46
270	millones	5.46
271	número	5.46
272	ti	5.46
273	algunas	5.45
274	hablar	5.45
