rank	word	ipa
1	de	/de/
2	la	/la/
3	que	/ke/
4	el	/el/
5	en	/en/
6	los	/los/
7	no	/no/
8	un	/un/
9	se	/se/
10	por	/poɾ/
11	es	/es/
12	del	/del/
13	las	/las/
14	con	/kon/
15	una	/ˈuna/
16	para	/ˈpaɾa/
17	lo	/lo/
18	su	/su/
19	al	/al/
20	como	/ˈkomo/
21	me	/me/
22	más	/mas/
23	si	/si/
24	pero	/ˈpeɾo/
25	te	/te/
26	mi	/mi/
27	le	/le/
28	este	/ˈeste/
29	sus	/sus/
30	esta	/ˈesta/
31	todo	/ˈtoðo/
32	ya	/ʝa/
33	ha	/a/
34	cuando	/kuˈando/
35	yo	/ʝo/
36	ser	/seɾ/
37	son	/son/
38	sin	/sin/
39	hay	/aˈi/
40	está	/esˈta/
41	fue	/ˈfue/
42	tu	/tu/
43	muy	/muˈi/
44	sobre	/ˈsoβɾe/
45	también	/tambiˈen/
46	todos	/ˈtoðos/
47	eso	/ˈeso/
48	tiene	/ˈtjene/
49	nos	/nos/
50	porque	/ˈpoɾke/
51	qué	/ke/
52	así	/aˈsi/
53	años	/ˈaɲos/
54	dos	/dos/
55	bien	/bjen/
56	entre	/ˈentɾe/
57	puede	/puˈeðe/
58	desde	/ˈdesðe/
59	hasta	/ˈasta/
60	hacer	/aˈseɾ/
61	ahora	/aˈoɾa/
62	era	/ˈeɾa/
63	esto	/ˈesto/
64	vez	/bes/
65	hace	/ˈase/
66	nada	/ˈnaða/
67	ni	/ni/
68	donde	/ˈdonde/
69	parte	/ˈpaɾte/
70	solo	/ˈsolo/
71	algo	/ˈalɣo/
72	tiempo	/ˈtjempo/
73	día	/ˈdia/
74	uno	/ˈuno/
75	mejor	/meˈxoɾ/
76	mucho	/ˈmutʃo/
77	tan	/tan/
78	ver	/beɾ/
79	vida	/ˈbiða/
80	ese	/ˈese/
81	han	/an/
82	mismo	/ˈmismo/
83	siempre	/ˈsjempɾe/
84	tengo	/ˈteŋɡo/
85	cada	/ˈkaða/
86	después	/despuˈes/
87	están	/esˈtan/
88	gente	/ˈxente/
89	esa	/ˈesa/
90	estado	/esˈtaðo/
91	estoy	/estoˈi/
92	mundo	/ˈmundo/
93	va	/ba/
94	año	/ˈaɲo/
95	les	/les/
96	mas	/mas/
97	otro	/ˈotɾo/
98	otros	/ˈotɾos/
99	gracias	/ˈɡɾasjas/
100	otra	/ˈotɾa/
101	cosas	/ˈkosas/
102	gran	/ɡɾan/
103	menos	/ˈmenos/
104	nunca	/ˈnunka/
105	personas	/peɾˈsonas/
106	tanto	/ˈtanto/
107	antes	/ˈantes/
108	poco	/ˈpoko/
109	sea	/ˈsea/
110	había	/aˈβia/
111	tener	/teˈneɾ/
112	trabajo	/tɾaˈβaxo/
113	durante	/duˈɾante/
114	ellos	/ˈeʝos/
115	lugar	/luˈɣaɾ/
116	creo	/ˈkɾeo/
117	cómo	/ˈkomo/
118	hecho	/ˈetʃo/
119	quiero	/kiˈeɾo/
120	sólo	/ˈsolo/
121	aunque	/aˈunke/
122	contra	/ˈkontɾa/
123	cuenta	/kuˈenta/
124	decir	/deˈsiɾ/
125	gobierno	/ɡoˈβjeɾno/
126	país	/paˈis/
127	soy	/soˈi/
128	todas	/ˈtoðas/
129	casa	/ˈkasa/
130	estos	/ˈestos/
131	forma	/ˈfoɾma/
132	he	/e/
133	nuevo	/nuˈeβo/
134	sido	/ˈsiðo/
135	él	/el/
136	aquí	/aˈki/
137	ella	/ˈeʝa/
138	estas	/ˈestas/
139	sí	/si/
140	estaba	/esˈtaβa/
141	estar	/esˈtaɾ/
142	hoy	/oˈi/
143	tienen	/ˈtjenen/
144	alguien	/alˈɣien/
145	dice	/ˈdise/
146	quien	/ˈkien/
147	toda	/ˈtoða/
148	tres	/tɾes/
149	voy	/boˈi/
150	caso	/ˈkaso/
151	días	/ˈdias/
152	momento	/moˈmento/
153	bueno	/buˈeno/
154	ciudad	/sjuˈðað/
155	mis	/mis/
156	nuestro	/nuˈestɾo/
157	luego	/luˈeɣo/
158	nacional	/nasjoˈnal/
159	parece	/paˈɾese/
160	nuestra	/nuˈestɾa/
161	poder	/poˈðeɾ/
162	pueden	/puˈeðen/
163	pues	/ˈpues/
164	verdad	/beɾˈðað/
165	historia	/isˈtoɾja/
166	mientras	/ˈmjentɾas/
167	nadie	/ˈnaðje/
168	nueva	/nuˈeβa/
169	otras	/ˈotɾas/
170	primera	/pɾiˈmeɾa/
171	veces	/ˈbeses/
172	muchos	/ˈmutʃos/
173	cual	/kuˈal/
174	debe	/ˈdeβe/
175	dijo	/ˈdixo/
176	entonces	/enˈtonses/
177	ir	/iɾ/
178	tipo	/ˈtipo/
179	algunos	/alˈɣunos/
180	general	/xeneˈɾal/
181	mayor	/maˈʝoɾ/
182	tal	/tal/
183	además	/aðeˈmas/
184	mal	/mal/
185	muchas	/ˈmutʃas/
186	primer	/pɾiˈmeɾ/
187	según	/seˈɣun/
188	acuerdo	/akuˈeɾðo/
189	cualquier	/kualkiˈeɾ/
190	dios	/djos/
191	fueron	/fuˈeɾon/
192	manera	/maˈneɾa/
193	nombre	/ˈnombɾe/
194	unos	/ˈunos/
195	ley	/leˈi/
196	medio	/ˈmeðjo/
197	partido	/paɾˈtiðo/
198	bajo	/ˈbaxo/
199	fuera	/fuˈeɾa/
200	hacia	/ˈasja/
201	sino	/ˈsino/
202	da	/da/
203	grupo	/ˈɡɾupo/
204	haber	/aˈβeɾ/
205	hombre	/ˈombɾe/
206	puedo	/puˈeðo/
207	buena	/buˈena/
208	mujer	/muˈxeɾ/
209	persona	/peɾˈsona/
210	será	/seˈɾa/
211	sistema	/sisˈtema/
212	casi	/ˈkasi/
213	fin	/fin/
214	hizo	/ˈiso/
215	noche	/ˈnotʃe/
216	nosotros	/noˈsotɾos/
217	pasado	/paˈsaðo/
218	presidente	/pɾesiˈðente/
219	quiere	/kiˈeɾe/
220	tenemos	/teˈnemos/
221	tus	/tus/
222	eres	/ˈeɾes/
223	méxico	/ˈmeksiko/
224	ahí	/aˈi/
225	cosa	/ˈkosa/
226	dentro	/ˈdentɾo/
227	españa	/esˈpaɲa/
228	estamos	/esˈtamos/
229	familia	/faˈmilja/
230	lado	/ˈlaðo/
231	aún	/aˈun/
232	buen	/ˈbuen/
233	podemos	/poˈðemos/
234	misma	/ˈmisma/
235	pueblo	/puˈeβlo/
236	tenía	/teˈnia/
237	esos	/ˈesos/
238	final	/fiˈnal/
239	mujeres	/muˈxeɾes/
240	política	/poˈlitika/
241	problema	/pɾoˈβlema/
242	punto	/ˈpunto/
243	agua	/aˈɣua/
244	alguna	/alˈɣuna/
245	equipo	/eˈkipo/
246	guerra	/ˈɡera/
247	saber	/saˈβeɾ/
248	sé	/se/
249	vamos	/ˈbamos/
250	van	/ban/
251	ante	/ˈante/
252	dar	/daɾ/
253	embargo	/emˈbaɾɣo/
254	favor	/faˈβoɾ/
255	gusta	/ˈɡusta/
256	importante	/impoɾˈtante/
257	información	/infoɾmasiˈon/
258	mañana	/maˈɲana/
259	pasa	/ˈpasa/
260	semana	/seˈmana/
261	tienes	/ˈtjenes/
262	claro	/ˈklaɾo/
263	dinero	/diˈneɾo/
264	san	/san/
265	social	/soˈsjal/
266	ejemplo	/eˈxemplo/
267	estados	/esˈtaðos/
268	horas	/ˈoɾas/
269	igual	/iɣuˈal/
270	millones	/miˈʝones/
271	número	/ˈnumeɾo/
272	ti	/ti/
273	algunas	/alˈɣunas/
274	hablar	/aˈβlaɾ/
275	hora	/ˈoɾa/
276	madre	/ˈmaðɾe/
277	señor	/seˈɲoɾ/
278	siendo	/ˈsjendo/
279	centro	/ˈsentɾo/
280	derecho	/deˈɾetʃo/
281	falta	/ˈfalta/
282	grandes	/ˈɡɾandes/
283	haciendo	/aˈsjendo/
284	hombres	/ˈombɾes/
285	nuestros	/nuˈestɾos/
286	puedes	/puˈeðes/
287	amigos	/aˈmiɣos/
288	buenos	/buˈenos/
289	cambio	/ˈkambjo/
290	idea	/iˈðea/
291	muerte	/muˈeɾte/
292	problemas	/pɾoˈβlemas/
293	tarde	/ˈtaɾðe/
294	tras	/tɾas/
295	través	/tɾaˈβes/
296	tú	/tu/
297	meses	/ˈmeses/
298	podría	/poˈðɾia/
299	realidad	/realiˈðað/
300	the	/te/
301	algún	/alˈɣun/
302	amor	/aˈmoɾ/
303	dicho	/ˈditʃo/
304	eran	/ˈeɾan/
305	frente	/ˈfɾente/
